PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Andrew White III,ATL,15,1,14,13.9,4.6,15.3,11.3,0.5,1.81,1.02,0.3,0.3,0,0.4,0.4,0,0.667,18
Serge Ibaka,TOR,76,53,23,27.5,12.6,42.1,25.5,1.1,1.62,0.46,0.3,1.3,1.1,2.5,0.735,0.889,0.865,18
Damyean Dotson,NYK,44,11,33,10.8,4.1,13.8,10.6,0.5,2.03,1.26,0.299,0.2,0,0.5,0.4,0,1,18
Paul Millsap,DEN,38,22,16,30.1,14.6,48.8,33,1.9,2.34,1.29,0.299,1.2,4.4,3.1,0.591,0.581,0.828,18
Alec Burks,UTA,64,37,27,16.5,7.7,25.9,17.1,1.3,3,2.5,0.298,0.4,0,0.5,0.87,0,1.182,18
Danilo Gallinari,LAC,21,11,10,32,15.3,51.5,32.1,2.2,2.55,1.29,0.297,1,2.3,2,0.8,0.458,0.81,18
Marcus Morris,BOS,52,32,20,26.8,13.5,45.6,28.2,1.6,2.12,1.11,0.296,1,2.4,1.8,0.784,0.597,0.946,18
Tyler Zeller,MIL,64,26,38,16.7,6.5,22.1,15,0.5,1.33,0.35,0.296,2.2,0.4,4.6,0.486,0.519,0.911,18
Emeka Okafor,NOP,26,16,10,13.6,4.4,14.8,8.2,0.3,1.16,0.19,0.295,1.4,0.7,3.9,0.27,0.444,0.676,18
Joe Harris,BKN,77,26,51,25.3,10.9,36.9,28.5,1.2,1.88,0.87,0.295,0.6,0,1.2,0.688,0,0.8,18
Rashad Vaughn,ORL,28,13,15,7.6,2.3,7.8,5.7,0.3,2.02,1.39,0.295,0.1,0,0.1,2,0,0.75,18
Aaron Gordon,ORL,58,19,39,32.9,17.6,59.9,31.8,2.4,2.44,1.65,0.294,1.8,2.3,3.9,0.673,0.458,0.974,18
Doug McDermott,DAL,80,29,51,21.7,7.7,26.3,21.3,0.7,1.5,0.45,0.294,0.7,0.1,1.8,0.5,0.364,1.055,18
Mike Scott,WAS,76,39,37,18.5,8.8,29.9,19.3,0.8,1.59,0.6,0.294,2.8,1.4,2.1,0.366,0.679,0.795,18
Taurean Prince,ATL,81,24,57,30,14.1,48,32.9,2.1,2.62,1.63,0.294,0.3,0.1,0.8,0.5,0.4,0.902,18
Terrence Ross,ORL,24,10,14,25,8.7,29.8,21.1,1.1,2.22,1.44,0.292,0.5,0.1,0.4,0.308,0,1.1,18
